,epochs,loss,acc
0,0,0.047077540308237076,0.9836000204086304
1,10,0.046068981289863586,0.984000027179718
2,20,0.046439219266176224,0.9847000241279602
3,30,0.04917389526963234,0.9846000075340271
4,40,0.04875710606575012,0.9854000210762024
5,50,0.05087117478251457,0.9848999977111816
6,60,0.05041515454649925,0.9851999878883362
7,70,0.05181601643562317,0.9855999946594238
8,80,0.052686773240566254,0.9854999780654907
9,90,0.05372302234172821,0.9854000210762024
10,100,0.054279908537864685,0.9858999848365784
11,110,0.05505567789077759,0.9854999780654907
12,120,0.05624166876077652,0.9854000210762024
13,130,0.056629426777362823,0.9854999780654907
14,140,0.05705363675951958,0.9854999780654907
15,150,0.05763718858361244,0.9854000210762024
16,160,0.058387596160173416,0.9850999712944031
17,170,0.059056635946035385,0.9853000044822693
18,180,0.05918262153863907,0.9854000210762024
19,190,0.059685565531253815,0.9851999878883362
20,200,0.0603649728000164,0.9851999878883362
21,210,0.060724951326847076,0.9850999712944031
22,220,0.0606759712100029,0.9851999878883362
23,230,0.06162622198462486,0.9851999878883362
24,240,0.06174198538064957,0.9851999878883362
25,250,0.06199432536959648,0.9851999878883362
26,260,0.06279896199703217,0.9851999878883362
27,270,0.0627288967370987,0.9853000044822693
28,280,0.06300944089889526,0.9850999712944031
29,290,0.0634596049785614,0.9853000044822693
