epoch,accuracy,loss
0,0.9153833389282227,0.2770342230796814
1,0.9747166633605957,0.08293911814689636
2,0.9810666441917419,0.06298593431711197
3,0.9829166531562805,0.05517326295375824
4,0.9852499961853027,0.047991152852773666
5,0.9857666492462158,0.04458744451403618
6,0.988099992275238,0.03947160392999649
7,0.9882833361625671,0.03787732869386673
8,0.9893166422843933,0.035105135291814804
9,0.989466667175293,0.03319139778614044
10,0.9901333451271057,0.03212673217058182
11,0.9911500215530396,0.02911527454853058
12,0.9913166761398315,0.028030356392264366
13,0.9920166730880737,0.026299363002181053
14,0.9922000169754028,0.025141609832644463
15,0.9925000071525574,0.024365561082959175
16,0.9922000169754028,0.02376009337604046
17,0.9936500191688538,0.02162533439695835
18,0.9937000274658203,0.02010197378695011
19,0.9940333366394043,0.019388413056731224
20,0.9940666556358337,0.019202254712581635
21,0.9944833517074585,0.018325116485357285
22,0.9948999881744385,0.01726456545293331
23,0.994700014591217,0.017260504886507988
24,0.9955499768257141,0.016100171953439713
25,0.9957833290100098,0.015110389329493046
26,0.9958666563034058,0.014678820967674255
27,0.9961000084877014,0.014154869131743908
28,0.995983362197876,0.013542413711547852
29,0.9962666630744934,0.01268822979182005
30,0.9965166449546814,0.012663284316658974
31,0.9968833327293396,0.011652304790914059
32,0.9966833591461182,0.01203493308275938
33,0.9965833425521851,0.011389270424842834
34,0.9967833161354065,0.01123370323330164
35,0.9971500039100647,0.010337663814425468
36,0.9976833462715149,0.009566336870193481
37,0.9977666735649109,0.00941692478954792
38,0.9976833462715149,0.008960869163274765
39,0.9980166554450989,0.00836331956088543
40,0.9982333183288574,0.00800278503447771
41,0.9977499842643738,0.008387472480535507
42,0.9984666705131531,0.007366239558905363
43,0.9984333515167236,0.007334444206207991
44,0.998199999332428,0.006924061104655266
45,0.9983166456222534,0.006539258174598217
46,0.9984166622161865,0.006596643943339586
47,0.99836665391922,0.00672322791069746
48,0.9985833168029785,0.006303165107965469
49,0.9987999796867371,0.005686569027602673
50,0.9986666440963745,0.005556493066251278
51,0.9990666508674622,0.004949631635099649
52,0.9988999962806702,0.00549216428771615
53,0.9991999864578247,0.004706972744315863
54,0.9990666508674622,0.0046102129854261875
55,0.9994999766349792,0.003968480043113232
56,0.9994500279426575,0.004002525471150875
57,0.9992333054542542,0.004071390256285667
58,0.9994500279426575,0.003754532430320978
59,0.9993666410446167,0.0037755221128463745
60,0.9991833567619324,0.004012016579508781
61,0.9995499849319458,0.0033133900724351406
62,0.9994999766349792,0.0031822766177356243
63,0.9993500113487244,0.003352964064106345
64,0.9996333122253418,0.0028302762657403946
65,0.999666690826416,0.002695797011256218
66,0.9998166561126709,0.002470177598297596
67,0.9996500015258789,0.0027316142804920673
68,0.9997166395187378,0.002475877059623599
69,0.9997333288192749,0.0023931520991027355
70,0.999666690826416,0.002186350990086794
71,0.9998499751091003,0.0021422619465738535
72,0.9998499751091003,0.0019433011766523123
73,0.9998999834060669,0.001995644299313426
74,0.999666690826416,0.002196553396061063
75,0.9997333288192749,0.0021145145874470472
76,0.9998166561126709,0.001819887082092464
77,0.999916672706604,0.0016324997413903475
78,0.9997833371162415,0.0017442312091588974
79,0.9998000264167786,0.0017715974245220423
80,0.9998999834060669,0.0015388797037303448
81,0.9997833371162415,0.0016423912020400167
82,0.9998666644096375,0.001500133890658617
83,0.9998666644096375,0.0014438843354582787
84,0.9999333620071411,0.0013122162781655788
85,0.9999333620071411,0.0013175648637115955
86,0.9998666644096375,0.001216893782839179
87,0.9999333620071411,0.001156519283540547
88,0.9999666810035706,0.0010864778887480497
89,0.9999333620071411,0.0010893965372815728
90,0.9999833106994629,0.0010255188681185246
91,0.9999666810035706,0.0009857012191787362
92,0.9999333620071411,0.0010238797403872013
93,0.9999666810035706,0.0009689512080512941
94,0.9999666810035706,0.0008907800656743348
95,1.0,0.000873712298925966
96,0.9999666810035706,0.0008006124407984316
97,0.9999666810035706,0.0008613640093244612
98,0.9999833106994629,0.0007913275621831417
99,0.9999499917030334,0.000881003332324326
100,0.9999666810035706,0.0007956563495099545
101,0.9999333620071411,0.0008038374362513423
102,0.9999333620071411,0.0008439901866950095
103,1.0,0.0007213223143480718
104,1.0,0.0006725696730427444
105,0.9999833106994629,0.0007571654277853668
106,1.0,0.0006409198394976556
107,0.9999833106994629,0.0006365149165503681
108,1.0,0.0006187877734191716
109,1.0,0.0006173481233417988
110,1.0,0.0005972259677946568
111,1.0,0.0005932162166573107
112,0.9999833106994629,0.0005977238179184496
113,1.0,0.0005538442637771368
114,1.0,0.0005345723475329578
115,0.9999833106994629,0.0005627401988022029
116,1.0,0.0005086531164124608
117,1.0,0.0005149883800186217
118,0.9999833106994629,0.0005514513468369842
119,0.9999833106994629,0.0005399381625466049
120,1.0,0.0004913649754598737
121,0.9999833106994629,0.0004891225253231823
122,1.0,0.00048648970550857484
123,1.0,0.0004710473585873842
124,1.0,0.0004486556281335652
125,1.0,0.00044244431774131954
126,1.0,0.0004513578023761511
127,1.0,0.0004477146139834076
128,1.0,0.00042563717579469085
129,1.0,0.00043478261795826256
130,1.0,0.0004223109281156212
131,1.0,0.0004063551314175129
132,1.0,0.0003996712912339717
133,1.0,0.0003942882176488638
134,1.0,0.0003836206451524049
