optimizer,epochs,lr,activation,loss,acc
RMSprop,100,0.02,softmax,0.5453709363937378,0.8830000162124634
SGD,100,0.1,sigmoid,0.2654350697994232,0.9251999855041504
SGD,100,0.1,hard_sigmoid,1.5679274797439575,0.3003000020980835
SGD,100,0.1,tanh,,0.09799999743700027
SGD,100,0.1,linear,8.702250480651855,0.13359999656677246
SGD,100,0.1,relu,1.8119646310806274,0.10140000283718109
SGD,100,0.1,softmax,0.2658757269382477,0.9247999787330627
Adam,100,0.1,sigmoid,0.8852099776268005,0.8992999792098999
Adam,100,0.1,hard_sigmoid,,0.7056999802589417
Adam,100,0.1,tanh,,0.09799999743700027
Adam,100,0.1,linear,10.554197311401367,0.21289999783039093
Adam,100,0.1,relu,,0.09799999743700027
Adam,100,0.1,softmax,0.9232902526855469,0.9035999774932861
Adadelta,100,0.1,sigmoid,0.2716244161128998,0.9246000051498413
Adadelta,100,0.1,hard_sigmoid,,0.16930000483989716
Adadelta,100,0.1,tanh,,0.09799999743700027
Adadelta,100,0.1,linear,7.819568157196045,0.05959999933838844
Adadelta,100,0.1,relu,,0.09799999743700027
Adadelta,100,0.1,softmax,0.27201148867607117,0.9247999787330627
Adagrad,100,0.1,sigmoid,0.26317650079727173,0.9271000027656555
Adagrad,100,0.1,hard_sigmoid,,0.8420000076293945
Adagrad,100,0.1,tanh,,0.09799999743700027
Adagrad,100,0.1,linear,9.325931549072266,0.17890000343322754
Adagrad,100,0.1,relu,,0.09799999743700027
Adagrad,100,0.1,softmax,0.2652069926261902,0.9247000217437744
RMSprop,100,0.1,sigmoid,1.7828062772750854,0.871399998664856
RMSprop,100,0.1,hard_sigmoid,,0.28060001134872437
RMSprop,100,0.1,tanh,,0.09799999743700027
RMSprop,100,0.1,linear,8.860604286193848,0.20800000429153442
RMSprop,100,0.1,relu,,0.09799999743700027
RMSprop,100,0.1,softmax,1.7349789142608643,0.8569999933242798
